"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","87.6","","","","1"
"2008-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","87.9","","","","1"
"2008-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.1","","","","1"
"2008-04","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.1","","","","1"
"2008-05","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.1","","","","1"
"2008-06","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.2","","","","1"
"2008-07","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.2","","","","1"
"2008-08","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.2","","","","1"
"2008-09","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","88.3","","","","1"
"2008-10","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","87.9","","","","1"
"2008-11","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","87.7","","","","1"
"2008-12","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","87.5","","","","1"
"2009-01","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","87.0","","","","1"
"2009-02","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","86.4","","","","1"
"2009-03","Canada","2016A000011124","Total (house and land)","Index, 201612=100","347","units ","0","v111955442","1.1","86.0","","","","1"
