REF_DATE,GEO,VECTOR,COORDINATE,VALUE
Jan-08,Canada,v111955442,1.1,87.6
Feb-08,Canada,v111955442,1.1,87.9
Mar-08,Canada,v111955442,1.1,88.1
Apr-08,Canada,v111955442,1.1,88.1
May-08,Canada,v111955442,1.1,88.1
Jun-08,Canada,v111955442,1.1,88.2
Jul-08,Canada,v111955442,1.1,88.2
Aug-08,Canada,v111955442,1.1,88.2
Sep-08,Canada,v111955442,1.1,88.3
Oct-08,Canada,v111955442,1.1,87.9
Nov-08,Canada,v111955442,1.1,87.7
Dec-08,Canada,v111955442,1.1,87.5
Jan-09,Canada,v111955442,1.1,87
Feb-09,Canada,v111955442,1.1,86.4
Mar-09,Canada,v111955442,1.1,86
Apr-09,Canada,v111955442,1.1,85.5
May-09,Canada,v111955442,1.1,85.4
Jun-09,Canada,v111955442,1.1,85.2
Jul-09,Canada,v111955442,1.1,85.4
Aug-09,Canada,v111955442,1.1,85.5
Sep-09,Canada,v111955442,1.1,85.9
Oct-09,Canada,v111955442,1.1,86.1
Nov-09,Canada,v111955442,1.1,86.4
Dec-09,Canada,v111955442,1.1,86.7
Jan-10,Canada,v111955442,1.1,87.1
Feb-10,Canada,v111955442,1.1,87.1
Mar-10,Canada,v111955442,1.1,87.4
Apr-10,Canada,v111955442,1.1,87.6
May-10,Canada,v111955442,1.1,87.9
Jun-10,Canada,v111955442,1.1,88
Jul-10,Canada,v111955442,1.1,87.9
Aug-10,Canada,v111955442,1.1,88
Sep-10,Canada,v111955442,1.1,88.1
Oct-10,Canada,v111955442,1.1,88.2
Nov-10,Canada,v111955442,1.1,88.4
Dec-10,Canada,v111955442,1.1,88.4
Jan-11,Canada,v111955442,1.1,88.6
Feb-11,Canada,v111955442,1.1,89
Mar-11,Canada,v111955442,1.1,89
Apr-11,Canada,v111955442,1.1,89.2
May-11,Canada,v111955442,1.1,89.6
Jun-11,Canada,v111955442,1.1,89.8
Jul-11,Canada,v111955442,1.1,89.9
Aug-11,Canada,v111955442,1.1,90
Sep-11,Canada,v111955442,1.1,90.1
Oct-11,Canada,v111955442,1.1,90.3
Nov-11,Canada,v111955442,1.1,90.6
Dec-11,Canada,v111955442,1.1,90.7
Jan-12,Canada,v111955442,1.1,90.8
Feb-12,Canada,v111955442,1.1,91
Mar-12,Canada,v111955442,1.1,91.3
Apr-12,Canada,v111955442,1.1,91.5
May-12,Canada,v111955442,1.1,91.7
Jun-12,Canada,v111955442,1.1,91.9
Jul-12,Canada,v111955442,1.1,92
Aug-12,Canada,v111955442,1.1,92.1
Sep-12,Canada,v111955442,1.1,92.3
Oct-12,Canada,v111955442,1.1,92.5
Nov-12,Canada,v111955442,1.1,92.6
Dec-12,Canada,v111955442,1.1,92.7
Jan-13,Canada,v111955442,1.1,92.8
Feb-13,Canada,v111955442,1.1,93
Mar-13,Canada,v111955442,1.1,93
Apr-13,Canada,v111955442,1.1,93.2
May-13,Canada,v111955442,1.1,93.4
Jun-13,Canada,v111955442,1.1,93.5
Jul-13,Canada,v111955442,1.1,93.6
Aug-13,Canada,v111955442,1.1,93.7
Sep-13,Canada,v111955442,1.1,93.8
Oct-13,Canada,v111955442,1.1,93.8
Nov-13,Canada,v111955442,1.1,93.9
Dec-13,Canada,v111955442,1.1,93.9
Jan-14,Canada,v111955442,1.1,94.1
Feb-14,Canada,v111955442,1.1,94.4
Mar-14,Canada,v111955442,1.1,94.5
Apr-14,Canada,v111955442,1.1,94.7
May-14,Canada,v111955442,1.1,94.8
Jun-14,Canada,v111955442,1.1,94.9
Jul-14,Canada,v111955442,1.1,94.9
Aug-14,Canada,v111955442,1.1,95.2
Sep-14,Canada,v111955442,1.1,95.3
Oct-14,Canada,v111955442,1.1,95.4
Nov-14,Canada,v111955442,1.1,95.5
Dec-14,Canada,v111955442,1.1,95.5
Jan-15,Canada,v111955442,1.1,95.5
Feb-15,Canada,v111955442,1.1,95.6
Mar-15,Canada,v111955442,1.1,95.7
Apr-15,Canada,v111955442,1.1,95.7
May-15,Canada,v111955442,1.1,95.9
Jun-15,Canada,v111955442,1.1,96.1
Jul-15,Canada,v111955442,1.1,96.2
Aug-15,Canada,v111955442,1.1,96.5
Sep-15,Canada,v111955442,1.1,96.6
Oct-15,Canada,v111955442,1.1,96.8
Nov-15,Canada,v111955442,1.1,96.9
Dec-15,Canada,v111955442,1.1,97
Jan-16,Canada,v111955442,1.1,97.1
Feb-16,Canada,v111955442,1.1,97.3
Mar-16,Canada,v111955442,1.1,97.5
Apr-16,Canada,v111955442,1.1,97.7
May-16,Canada,v111955442,1.1,98.5
Jun-16,Canada,v111955442,1.1,98.6
Jul-16,Canada,v111955442,1.1,99
Aug-16,Canada,v111955442,1.1,99.1
Sep-16,Canada,v111955442,1.1,99.3
Oct-16,Canada,v111955442,1.1,99.7
Nov-16,Canada,v111955442,1.1,99.9
Dec-16,Canada,v111955442,1.1,100
Jan-17,Canada,v111955442,1.1,100.1
Feb-17,Canada,v111955442,1.1,100.5
Mar-17,Canada,v111955442,1.1,100.7
Apr-17,Canada,v111955442,1.1,101.5
May-17,Canada,v111955442,1.1,102.2
Jun-17,Canada,v111955442,1.1,102.4
Jul-17,Canada,v111955442,1.1,102.8
Aug-17,Canada,v111955442,1.1,102.9
Sep-17,Canada,v111955442,1.1,103.1
Oct-17,Canada,v111955442,1.1,103.2
Nov-17,Canada,v111955442,1.1,103.3
Dec-17,Canada,v111955442,1.1,103.3
Jan-18,Canada,v111955442,1.1,103.3
Feb-18,Canada,v111955442,1.1,103.1
Mar-18,Canada,v111955442,1.1,103.1
Apr-18,Canada,v111955442,1.1,103.1
May-18,Canada,v111955442,1.1,103.1
Jun-18,Canada,v111955442,1.1,103.2
Jul-18,Canada,v111955442,1.1,103.3
Aug-18,Canada,v111955442,1.1,103.3
Sep-18,Canada,v111955442,1.1,103.3
Oct-18,Canada,v111955442,1.1,103.3
Nov-18,Canada,v111955442,1.1,103.3
Jan-08,Atlantic Region,v111955445,2.1,82.9
Feb-08,Atlantic Region,v111955445,2.1,83.6
Mar-08,Atlantic Region,v111955445,2.1,84
Apr-08,Atlantic Region,v111955445,2.1,84.9
May-08,Atlantic Region,v111955445,2.1,86.1
Jun-08,Atlantic Region,v111955445,2.1,87.1
Jul-08,Atlantic Region,v111955445,2.1,88.3
Aug-08,Atlantic Region,v111955445,2.1,88.6
Sep-08,Atlantic Region,v111955445,2.1,88.5
Oct-08,Atlantic Region,v111955445,2.1,88.7
Nov-08,Atlantic Region,v111955445,2.1,89.9
Dec-08,Atlantic Region,v111955445,2.1,90.1
Jan-09,Atlantic Region,v111955445,2.1,90.6
Feb-09,Atlantic Region,v111955445,2.1,90.8
Mar-09,Atlantic Region,v111955445,2.1,90.9
Apr-09,Atlantic Region,v111955445,2.1,91
May-09,Atlantic Region,v111955445,2.1,91.1
Jun-09,Atlantic Region,v111955445,2.1,91.2
Jul-09,Atlantic Region,v111955445,2.1,91.2
Aug-09,Atlantic Region,v111955445,2.1,91.6
Sep-09,Atlantic Region,v111955445,2.1,91.7
Oct-09,Atlantic Region,v111955445,2.1,91.7
Nov-09,Atlantic Region,v111955445,2.1,92
Dec-09,Atlantic Region,v111955445,2.1,92.3
Jan-10,Atlantic Region,v111955445,2.1,92.9
Feb-10,Atlantic Region,v111955445,2.1,92.9
Mar-10,Atlantic Region,v111955445,2.1,92.9
Apr-10,Atlantic Region,v111955445,2.1,93.3
May-10,Atlantic Region,v111955445,2.1,93.5
Jun-10,Atlantic Region,v111955445,2.1,93.9
Jul-10,Atlantic Region,v111955445,2.1,93.9
Aug-10,Atlantic Region,v111955445,2.1,93.9
Sep-10,Atlantic Region,v111955445,2.1,93.9
Oct-10,Atlantic Region,v111955445,2.1,93.9
Nov-10,Atlantic Region,v111955445,2.1,95.9
Dec-10,Atlantic Region,v111955445,2.1,96
Jan-11,Atlantic Region,v111955445,2.1,96
