REF_DATE,GEO,VALUE
8-Jan,Newfoundland and Labrador,69.9
8-Feb,Newfoundland and Labrador,72
8-Mar,Newfoundland and Labrador,72.1
8-Apr,Newfoundland and Labrador,74.6
8-May,Newfoundland and Labrador,77.4
8-Jun,Newfoundland and Labrador,79.6
8-Jul,Newfoundland and Labrador,82
8-Aug,Newfoundland and Labrador,82.6
8-Sep,Newfoundland and Labrador,82.6
8-Oct,Newfoundland and Labrador,83
8-Nov,Newfoundland and Labrador,85.9
8-Dec,Newfoundland and Labrador,86
9-Jan,Newfoundland and Labrador,86.8
9-Feb,Newfoundland and Labrador,86.7
9-Mar,Newfoundland and Labrador,87.1
9-Apr,Newfoundland and Labrador,87.3
9-May,Newfoundland and Labrador,87.3
9-Jun,Newfoundland and Labrador,87.7
9-Jul,Newfoundland and Labrador,87.7
9-Aug,Newfoundland and Labrador,88.7
9-Sep,Newfoundland and Labrador,88.7
9-Oct,Newfoundland and Labrador,88.7
9-Nov,Newfoundland and Labrador,89.3
9-Dec,Newfoundland and Labrador,89.9
10-Jan,Newfoundland and Labrador,91.5
10-Feb,Newfoundland and Labrador,91.5
10-Mar,Newfoundland and Labrador,91.5
10-Apr,Newfoundland and Labrador,92.5
10-May,Newfoundland and Labrador,92.7
10-Jun,Newfoundland and Labrador,93
10-Jul,Newfoundland and Labrador,93
10-Aug,Newfoundland and Labrador,93
10-Sep,Newfoundland and Labrador,93
10-Oct,Newfoundland and Labrador,93
10-Nov,Newfoundland and Labrador,97
10-Dec,Newfoundland and Labrador,97
11-Jan,Newfoundland and Labrador,97.2
11-Feb,Newfoundland and Labrador,97.2
11-Mar,Newfoundland and Labrador,97.2
11-Apr,Newfoundland and Labrador,97.1
11-May,Newfoundland and Labrador,97
11-Jun,Newfoundland and Labrador,97
11-Jul,Newfoundland and Labrador,96.9
11-Aug,Newfoundland and Labrador,96.9
11-Sep,Newfoundland and Labrador,96.9
11-Oct,Newfoundland and Labrador,96.9
11-Nov,Newfoundland and Labrador,96.9
11-Dec,Newfoundland and Labrador,96.9
12-Jan,Newfoundland and Labrador,96.5
12-Feb,Newfoundland and Labrador,96.5
12-Mar,Newfoundland and Labrador,96.8
12-Apr,Newfoundland and Labrador,96.8
12-May,Newfoundland and Labrador,97
12-Jun,Newfoundland and Labrador,97.1
12-Jul,Newfoundland and Labrador,97.7
12-Aug,Newfoundland and Labrador,97.7
12-Sep,Newfoundland and Labrador,97.5
12-Oct,Newfoundland and Labrador,97.5
12-Nov,Newfoundland and Labrador,97.5
12-Dec,Newfoundland and Labrador,97.5
13-Jan,Newfoundland and Labrador,97.7
13-Feb,Newfoundland and Labrador,97.7
13-Mar,Newfoundland and Labrador,97.7
13-Apr,Newfoundland and Labrador,98.6
13-May,Newfoundland and Labrador,98.8
13-Jun,Newfoundland and Labrador,98.8
13-Jul,Newfoundland and Labrador,99.4
13-Aug,Newfoundland and Labrador,99.6
13-Sep,Newfoundland and Labrador,99.6
13-Oct,Newfoundland and Labrador,99.6
13-Nov,Newfoundland and Labrador,99.6
13-Dec,Newfoundland and Labrador,99.6
14-Jan,Newfoundland and Labrador,99.6
14-Feb,Newfoundland and Labrador,99.6
14-Mar,Newfoundland and Labrador,99.9
14-Apr,Newfoundland and Labrador,99.9
14-May,Newfoundland and Labrador,99.8
14-Jun,Newfoundland and Labrador,99.7
14-Jul,Newfoundland and Labrador,99.7
14-Aug,Newfoundland and Labrador,99.7
14-Sep,Newfoundland and Labrador,99.7
14-Oct,Newfoundland and Labrador,99.7
14-Nov,Newfoundland and Labrador,99.9
14-Dec,Newfoundland and Labrador,99.9
15-Jan,Newfoundland and Labrador,99.9
15-Feb,Newfoundland and Labrador,99.9
15-Mar,Newfoundland and Labrador,99.9
15-Apr,Newfoundland and Labrador,99.9
15-May,Newfoundland and Labrador,99.8
15-Jun,Newfoundland and Labrador,99.8
15-Jul,Newfoundland and Labrador,100.1
15-Aug,Newfoundland and Labrador,100.1
15-Sep,Newfoundland and Labrador,100.1
15-Oct,Newfoundland and Labrador,100.1
15-Nov,Newfoundland and Labrador,100.3
15-Dec,Newfoundland and Labrador,100.3
16-Jan,Newfoundland and Labrador,100.3
16-Feb,Newfoundland and Labrador,100.3
16-Mar,Newfoundland and Labrador,100.2
16-Apr,Newfoundland and Labrador,100.2
16-May,Newfoundland and Labrador,100.3
16-Jun,Newfoundland and Labrador,100.3
16-Jul,Newfoundland and Labrador,100
16-Aug,Newfoundland and Labrador,99.8
16-Sep,Newfoundland and Labrador,100
16-Oct,Newfoundland and Labrador,100
16-Nov,Newfoundland and Labrador,100
16-Dec,Newfoundland and Labrador,100
17-Jan,Newfoundland and Labrador,99.6
17-Feb,Newfoundland and Labrador,99.6
17-Mar,Newfoundland and Labrador,99.5
17-Apr,Newfoundland and Labrador,99.5
17-May,Newfoundland and Labrador,99.5
17-Jun,Newfoundland and Labrador,99.4
17-Jul,Newfoundland and Labrador,99.4
17-Aug,Newfoundland and Labrador,98.9
17-Sep,Newfoundland and Labrador,98.9
17-Oct,Newfoundland and Labrador,98.9
17-Nov,Newfoundland and Labrador,99
17-Dec,Newfoundland and Labrador,99
18-Jan,Newfoundland and Labrador,99
18-Feb,Newfoundland and Labrador,99
18-Mar,Newfoundland and Labrador,99
18-Apr,Newfoundland and Labrador,99
18-May,Newfoundland and Labrador,98.9
18-Jun,Newfoundland and Labrador,98.7
18-Jul,Newfoundland and Labrador,98.9
18-Aug,Newfoundland and Labrador,98.9
18-Sep,Newfoundland and Labrador,98.5
18-Oct,Newfoundland and Labrador,98.4
18-Nov,Newfoundland and Labrador,98
8-Jan,Prince Edward Island,99.7
8-Feb,Prince Edward Island,99.7
8-Mar,Prince Edward Island,98.6
8-Apr,Prince Edward Island,98.6
8-May,Prince Edward Island,98.6
8-Jun,Prince Edward Island,98.9
8-Jul,Prince Edward Island,98.9
8-Aug,Prince Edward Island,98.5
8-Sep,Prince Edward Island,98.5
8-Oct,Prince Edward Island,98.6
8-Nov,Prince Edward Island,98.6
8-Dec,Prince Edward Island,98.6
9-Jan,Prince Edward Island,98.8
9-Feb,Prince Edward Island,99.9
9-Mar,Prince Edward Island,99.5
9-Apr,Prince Edward Island,99.5
9-May,Prince Edward Island,100
9-Jun,Prince Edward Island,100
9-Jul,Prince Edward Island,100
9-Aug,Prince Edward Island,100.1
9-Sep,Prince Edward Island,100.1
9-Oct,Prince Edward Island,99.5
9-Nov,Prince Edward Island,99.5
9-Dec,Prince Edward Island,99.5
10-Jan,Prince Edward Island,99.3
10-Feb,Prince Edward Island,98.8
10-Mar,Prince Edward Island,98.4
10-Apr,Prince Edward Island,98.1
10-May,Prince Edward Island,98.4
